Source,Target,Weight
fansrossoneri,avelinoguido28,1
farhanatjeh,elonmusk,1
fastpuke,anyamelfissa,1
fastpuke,kaelakovalskia,1
fat_bry,txtdaritaxpayer,1
febry1309,duwitmu,1
febry1309,rudiyanto_zh,1
fffrrrnnnyyy,bismillahyuk_,1
firm4nds,budibukanintel,1
fitriwu12741399,ktrnwhte,1
flashworld321,tang__kira,1
fluffydef,anonimright,1
fluffydef,howluckyfifii,1
fluffydef,matanajwa,1
forevermygirll,worksfess,1
fuzzy3303sf,ultractinium,1
fuzzy3303sf,unmagnetism,1
g0rip,todunglubis,1
g3nx_files,prabowo,1
galasxsky,areajulid,1
gdingkoneng,darderdor_100x,1
geniuskvife,worksfess,1
geqmai,aengdiary,1
geqmai,convomf,1
gerimishujan22,laneclark__,1
gerimishujan22,tanyarlfes,1
gessafa,borabuchanesu,1
gessafa,ime_indonesia,1
gesterbein_f,esk0pihitam,1
gesterbein_f,masssdho97,1
gesterbein_f,ndi_1810,1
ghifarikun1,kakakpembina00,1
ghifarikun1,unmagnetism,1
ginamustika,doktertifa,1
ginamustika,prabowo,1
gr63_idn,ashclothleee,1
great_warrr,phillatheria,1
grimreap180797,peachybellsz,1
grimreap180797,tanyakanrl,1
gulakotak69,thingsnialike,1
hadiariefbudi,txtharihariwni,1
haisugaaa_idv,chizznanda,1
haisugaaa_idv,tanyakanrl,1
hallomay__,riraen,1
hallomay__,zizuambis,1
harimakenji13,unmagnetism,1
haryanagara,mrtweepsid,1
hasfaniahmad,localrkyt,1
hatake01157917,lutfithe13th,1
hatake01157917,tradingdiary2,1
hazelnutkyu,buleariief,1
hazelnutkyu,heraloebss,1
hdnchannel,rahmaniarbaftim,1
heevansmore,bambiheeee,1
heevansmore,heevanlee___,1
heloanggi,nowplayingbts,1
heraloebss,logikapolitikid,1
heraloebss,presidenkopi,1
hhyunsk,dhelsadell,1
hhyunsk,tanyakanrl,1
hhyunsk,vitawuw,1
hidsalj,taufanmaul89,1
hippoctopus_,jaxxxcck,1
hippoctopus_,tanyakanrl,1
homemanproud,karirfess,1
honeyassegaf,heraloebss,1
hugovittorio2,arsipaja,1
humanside12,greatmister2023,1
humanside12,noucampline,1
iam_skmn,jawafess,1
ibe_oct,merapi_uncover,1
ignatiusryd,akun2mega,1
ignatiusryd,lost_ataraxia,1
ignatiusryd,nvidiarxa770,1
ignatiusryd,udang_rebon3,1
ignatiusryd,wiyokooo,1
igoloo_bali2,unmagnetism,1
ikankoki28,arsipaja,1
imarmarwatih,ddwsy1004,1
imarmarwatih,tanyarlfes,1
imarmarwatih,yourxanny44,1
imbadassy,ceylonrosee,1
imbadassy,zakariamlk,1
imrenagi,bssn_ri,1
incessholic,k70639,1
inibungaaaaa__,pinkcortis,1
iniituterus,arara_lilly,1
inikejuuu_,arara_lilly,1
innovaraibon,mrtweepsid,1
innovaraibon,samapinjol,2
ipung2667,budbu,1
ipung2667,indodana_id,1
ir_mitzy97,mulmul021,1
ir_mitzy97,unmagnetism,1
irenebaebae_91,folkshittmedia,1
irenebaebae_91,kegblgnunfaedh,1
itskindaflorian,jimans_,1
iwahyudis,lamberesing,1
jackliandoz,gendoet3g,1
jackmarpaung99,ccicpolri,1
jackmarpaung99,ojkindonesia,1
jagungbeledug,yaniarsim,1
jakartaterkinid,kawtuz,1
jawir69,kompascom,1
jenwindaay,tanyarlfes,1
jnastasic,funjunkies,1
joe43369941,tempodotco,1
joesvult,partono_adjem,1
joezoop,fadlizon,1
joezoop,prabowo,1
joonstronout,d_blueside,1
ju1y993,igoloo_bali2,1
ju1y993,unmagnetism,1
justjjshitpost,tanyakanrl,1
kaitosenseidx,americhanoo_,1
kakakpembina00,unmagnetism,1
kalistohenituse,mdlwlrma,1
kampretlordz,tanyarlfes,1
kampusruko,lambesahamjja,1
kanasiwa27,hidupsebagai62,1
kangcukurrr,txtharihariwni,1
kangmirdja,triwul82,1
karnawibwo,baymax911,1
karnawibwo,sanggkara,1
karniilyas,ilctalkshow,1
kcbktrz2tqfeztr,konellonell,1
kebayoranbentar,kompascom,1
kebayoranbentar,lambesahamjja,1
kelittzy1999,andikanrmdhn,1
kelittzy1999,pianekek,1
