Id,Label,Degree,InDegree,OutDegree,Betweenness,Topik_Dominan
sudrajatasep17,sudrajatasep17,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
pamatri23,pamatri23,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
qalbubahasa,qalbubahasa,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
rafikabayu,rafikabayu,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
wiyantokdr54,wiyantokdr54,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
denni_sauya,denni_sauya,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
dyananjani89,dyananjani89,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
geqmai,geqmai,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
aengdiary,aengdiary,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
convomf,convomf,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
presidenkopi,presidenkopi,0.00078003120124805,0.00078003120124805,0.0,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
p9trichor,p9trichor,0.00234009360374415,0.0,0.00234009360374415,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
buagus17,buagus17,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
deepstorie,deepstorie,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
syafridon8,syafridon8,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
jansen_jsp,jansen_jsp,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
bonkq_rui,bonkq_rui,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
myyunieyusuf519,myyunieyusuf519,0.00234009360374415,0.0,0.00234009360374415,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
abdulwa40572599,abdulwa40572599,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
rudi8799,rudi8799,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
dorisyincpa,dorisyincpa,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
youlovezembud,youlovezembud,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
lelakifavoritmu,lelakifavoritmu,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
imrenagi,imrenagi,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 1: Masalah Finansial & Beban Hutang Pribadi
bssn_ri,bssn_ri,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
s1m0m0,s1m0m0,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
irfan_albento77,irfan_albento77,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
opposite6892,opposite6892,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
hhyunsk,hhyunsk,0.00234009360374415,0.0,0.00234009360374415,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
vitawuw,vitawuw,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
dhelsadell,dhelsadell,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
r_kapau,r_kapau,0.01326053042121685,0.00078003120124805,0.0124804992199688,4.323357946027443e-05,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
eboonyakall,eboonyakall,0.00078003120124805,0.00078003120124805,0.0,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
_bagusajiwo_,_bagusajiwo_,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
niniesrina,niniesrina,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
avengers_02,avengers_02,0.00546021840873635,0.0,0.00546021840873635,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
ugm_fess,ugm_fess,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
uiiiofficial,uiiiofficial,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
itbfess,itbfess,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
undipmenfess,undipmenfess,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
upifess,upifess,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
ipb_menfess,ipb_menfess,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
nadiem_makarim,nadiem_makarim,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
tiang_djawi,tiang_djawi,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
cheatxiiizn,cheatxiiizn,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
kredivo,kredivo,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
airantiepuspa,airantiepuspa,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
chemankchemonk,chemankchemonk,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
caiairwater2,caiairwater2,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
yearendsale_,yearendsale_,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
msropi,msropi,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
ngopipagi923441,ngopipagi923441,0.0046801872074883,0.0015600624024961,0.0031201248049922,4.4146964941829525e-05,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
chat_maya00,chat_maya00,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
maruriyusria,maruriyusria,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
istighfarciel,istighfarciel,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
imaisback,imaisback,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
oleng_ynwa,oleng_ynwa,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
cv_kp_mandiri,cv_kp_mandiri,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
alfeeii,alfeeii,0.00234009360374415,0.0,0.00234009360374415,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
debtcollhunter,debtcollhunter,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
partono_adjem,partono_adjem,0.0078003120124804995,0.00546021840873635,0.00234009360374415,4.323357946027443e-05,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
pinjolengineers,pinjolengineers,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
wulannaya8889,wulannaya8889,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
